alpha,policy,accuracy_mean,accuracy_lo,accuracy_hi,cost_mean,deferral_fraction,n_seeds
0.1,mozannar,0.786743515850144,0.7723342939481268,0.8069164265129684,0.8155619596541787,0.8155619596541787,5
0.2,mozannar,0.7899135446685879,0.776657060518732,0.8112391930835735,0.7968299711815562,0.7968299711815562,5
0.5,mozannar,0.7948126801152737,0.7824207492795389,0.8141210374639769,0.729106628242075,0.729106628242075,5
0.6,mozannar,0.795965417867435,0.7853025936599424,0.8141210374639769,0.6873198847262247,0.6873198847262247,5
0.7,mozannar,0.7948126801152738,0.7853025936599424,0.8097982708933718,0.6628242074927954,0.6628242074927954,5
0.8,mozannar,0.7953890489913544,0.7838616714697406,0.80835734870317,0.6095100864553314,0.6095100864553314,5
0.9,mozannar,0.8069164265129682,0.7968299711815562,0.8155619596541787,0.3242074927953891,0.3242074927953891,5
0.95,mozannar,0.8219020172910663,0.8155619596541787,0.829971181556196,0.09798270893371758,0.09798270893371758,5
1.0,mozannar,0.8253602305475504,0.8213256484149856,0.829971181556196,0.021613832853025938,0.021613832853025938,5
2.0,mozannar,0.8285302593659942,0.8285302593659942,0.8285302593659942,0.0,0.0,5
5.0,mozannar,0.8285302593659942,0.8285302593659942,0.8285302593659942,0.0,0.0,5
