b,policy,accuracy_mean,accuracy_lo,accuracy_hi,cost_mean,deferral_fraction,n_seeds
0.0,learned,0.8285302593659942,0.8285302593659942,0.8285302593659942,0.0,0.0,5
0.1,learned,0.8337175792507205,0.8242074927953891,0.840057636887608,0.0994236311239193,0.0994236311239193,5
0.2,learned,0.8319884726224783,0.8184438040345822,0.8414985590778098,0.1988472622478386,0.1988472622478386,5
0.3,learned,0.8288184438040347,0.8112391930835735,0.8429394812680115,0.29971181556195964,0.29971181556195964,5
0.4,learned,0.8233429394812679,0.8097982708933718,0.8371757925072046,0.39913544668587897,0.39913544668587897,5
0.5,learned,0.8109510086455332,0.7939481268011528,0.8270893371757925,0.5,0.5,5
0.6,learned,0.8031700288184437,0.7824207492795389,0.8227665706051873,0.5994236311239193,0.5994236311239193,5
0.7,learned,0.7951008645533142,0.7809798270893372,0.80835734870317,0.6988472622478387,0.6988472622478387,5
0.8,learned,0.7855907780979827,0.770893371757925,0.8011527377521613,0.7997118155619597,0.7997118155619597,5
0.0,oracle,0.8285302593659942,0.8285302593659942,0.8285302593659942,0.0,0.0,5
0.1,oracle,0.8821325648414986,0.877521613832853,0.8962536023054755,0.0994236311239193,0.0994236311239193,5
0.2,oracle,0.8919308357348703,0.8847262247838616,0.9063400576368876,0.17146974063400577,0.17146974063400577,5
0.3,oracle,0.8919308357348703,0.8847262247838616,0.9063400576368876,0.17146974063400577,0.17146974063400577,5
0.4,oracle,0.8919308357348703,0.8847262247838616,0.9063400576368876,0.17146974063400577,0.17146974063400577,5
0.5,oracle,0.8919308357348703,0.8847262247838616,0.9063400576368876,0.17146974063400577,0.17146974063400577,5
0.6,oracle,0.8919308357348703,0.8847262247838616,0.9063400576368876,0.17146974063400577,0.17146974063400577,5
0.7,oracle,0.8919308357348703,0.8847262247838616,0.9063400576368876,0.17146974063400577,0.17146974063400577,5
0.8,oracle,0.8919308357348703,0.8847262247838616,0.9063400576368876,0.17146974063400577,0.17146974063400577,5
