arm,policy,operating_param,cost_mean,accuracy_mean,ci_lo,ci_hi,seed_lo,seed_hi,tpr,fpr,n_seeds,stochastic,deployable
ai_alone,ai_alone,0.5,0.0,0.8285302593659942,0.8011527377521613,0.8559438040345821,0.8285302593659942,0.8285302593659942,0.4946236559139785,0.04921259842519685,1,False,True
hct,hct,0.9,1.1812680115273775,0.8014409221902017,0.7743443804034583,0.8291066282420749,0.7896253602305475,0.8097982708933718,0.310752688172043,0.01889763779527559,5,True,True
hct,hct,0.8,1.1864553314121036,0.8069164265129682,0.7806844380403457,0.832579250720461,0.7968299711815562,0.8155619596541787,0.332258064516129,0.019291338582677165,5,True,True
hct,hct,0.7,1.1965417867435157,0.8100864553314121,0.7838544668587896,0.8357348703170029,0.7982708933717579,0.8184438040345822,0.3440860215053763,0.019291338582677165,5,True,True
hct,hct,0.6,1.1994236311239195,0.8112391930835734,0.7850144092219021,0.8371902017291066,0.8011527377521613,0.8170028818443804,0.3505376344086021,0.02007874015748031,5,True,True
hct,hct,0.5,1.202305475504323,0.8103746397694523,0.7847118155619596,0.8360230547550432,0.8011527377521613,0.8170028818443804,0.35268817204301073,0.022047244094488192,5,True,True
hct,hct,0.4,1.205763688760807,0.8097982708933718,0.7847190201729106,0.8351657060518733,0.7997118155619597,0.8170028818443804,0.3559139784946236,0.024015748031496063,5,True,True
hct,hct,0.3,1.2135446685878963,0.8100864553314121,0.7847190201729105,0.8360230547550432,0.7997118155619597,0.8170028818443804,0.36344086021505373,0.026377952755905508,5,True,True
hct,hct,0.2,1.2184438040345822,0.8106628242074928,0.7852953890489913,0.8365994236311238,0.7997118155619597,0.8198847262247838,0.3698924731182795,0.02795275590551181,5,True,True
hct,hct,0.1,1.2276657060518732,0.8132564841498559,0.7876008645533141,0.8380475504322767,0.8025936599423631,0.8198847262247838,0.3860215053763441,0.030314960629921263,5,True,True
l2d_mozannar,mozannar,2.0,0.0,0.8285302593659942,0.8011527377521613,0.8559438040345821,0.8285302593659942,0.8285302593659942,0.4946236559139785,0.04921259842519685,5,True,True
l2d_mozannar,mozannar,5.0,0.0,0.8285302593659942,0.8011527377521613,0.8559438040345821,0.8285302593659942,0.8285302593659942,0.4946236559139785,0.04921259842519685,5,True,True
l2d_mozannar,mozannar,1.0,0.021613832853025938,0.8253602305475504,0.7979755043227664,0.8530259365994236,0.8213256484149856,0.829971181556196,0.4935483870967742,0.053149606299212594,5,True,True
l2d_mozannar,mozannar,0.95,0.09798270893371758,0.8219020172910663,0.7956772334293949,0.8492795389048992,0.8155619596541787,0.829971181556196,0.5010752688172043,0.060629921259842526,5,True,True
l2d_mozannar,mozannar,0.9,0.3242074927953891,0.8069164265129682,0.7798270893371758,0.8345821325648416,0.7968299711815562,0.8155619596541787,0.5129032258064516,0.08543307086614173,5,True,True
